Label,Weight
刘备,5309
曹操,4835
一个,2340
关羽,2191
丞相,2164
没有,2028
吕布,1637
知道,1633
老板,1509
现在,1489
真的,1459
荆州,1303
三国,1294
其实,1283
张飞,1250
东吴,1180
孙权,1127
司马懿,1100
袁绍,1079
可能,1024
不会,1019
已经,976
不能,918
历史,888
魏延,870
应该,862
孔明,854
确实,800
直接,792
孙策,662
二爷,653
亮亮,651
董卓,649
诸葛,638
觉得,633
后面,631
刘禅,612
这种,610
肯定,609
可惜,559
天下,550
将军,547
一直,536
最后,535
蜀汉,523
问题,516
这时候,516
前面,511
感觉,509
司马,487
百姓,486
这是,485
姜维,468
兄弟,465
皇帝,461
本来,458
当时,454
真是,452
两个,446
不要,446
谋士,440
阿斗,435
喜欢,425
马超,425
只能,420
不行,414
马谡,405
儿子,404
演义,399
徐庶,398
子龙,398
一下,393
蜀国,387
英雄,383
曹丕,382
主公,380
江东,380
徐州,374
投降,372
小兵,371
后来,368
北伐,365
曹魏,364
当年,360
看到,356
演员,353
之前,353
厉害,353
之后,348
陈宫,344
根本,342
有点,336
一点,333
一起,333
啊啊啊,333
古代,332
几个,327
备备,326
鲁肃,323
主要,320
起来,320
不了,317
军师,312
是不是,309
魏国,308
很多,298
一定,296
是因为,296
不好,296
嘟嘟,294
打仗,293
老师,290
皇叔,290
一次,290
不敢,288
司马昭,288
正史,285
后期,282
能力,281
貂蝉,279
好像,273
手下,272
以后,271
估计,266
关张,265
汉室,263
不用,261
孟获,261
仁义,257
机会,255
为啥,255
成功,255
关系,252
人才,252
三国演义,251
大将,251
黄忠,251
陆逊,250
武将,248
回去,248
意思,247
赤壁,246
刘表,246
以前,239
下来,238
飞飞,237
毕竟,236
回来,229
看看,228
曹植,226
华佗,225
不想,224
doge,223
大哥,223
汉中,222
地方,222
一句,218
说话,218
大军,216
早就,214
重要,213
办法,213
想到,212
十万,211
有人,211
诸葛亮,209
原著,209
武力,209
突然,207
跟着,207
鼠辈,206
时间,205
性格,202
当初,202
过来,201
需要,199
时期,198
里面,197
杨修,196
不可,195
好好,194
刘璋,194
正常,193
聪明,192
实力,190
没想到,189
大汉,188
第一,188
不到,187
不错,187
完全,187
三个,186
报仇,184
年轻,182
计谋,182
说明,181
先生,181
明白,179
袁术,179
容易,179
公瑾,177
个人,176
发现,175
统一,175
士兵,175
算是,174
东西,173
非常,172
中原,169
呜呜,167
夏侯惇,165
火烧,164
夷陵,163
忠臣,161
小人,160
拿下,160
故意,159
不在,159
身边,158
孙坚,158
对面,158
绝对,157
失败,157
乱世,156
天子,156
过去,155
注意,154
唯一,154
西川,154
粮草,154
今天,153
必须,153
中国,152
那种,152
居然,152
三国志,151
吴国,151
云长,151
电视剧,150
北方,150
街亭,150
一辈子,148
原来,148
技能,147
原因,147
先帝,147
真正,147
理解,147
大事,146
看着,146
10,145
随便,145
这句,145
告诉,145
合肥,145
张昭,145
一人,144
不住,144
情况,144
三爷,143
每次,143
记得,143
王允,142
长安,142
凤雏,141
小说,139
吕蒙,139
事情,138
属于,138
想想,137
罗贯中,137
之战,136
没错,136
弹幕,136
准备,135
希望,135
火攻,135
关二爷,134
心疼,134
马腾,134
夫人,134
孙尚香,134
孩子,133
不够,133
愿意,132
母亲,132
夏侯渊,132
遇到,131
有没有,131
脑子,131
对手,131
难道,130
想要,130
心里,129
古人,129
义父,129
军队,129
整个,128
基本,128
道理,128
老婆,128
马上,128
细节,127
实际上,127
火箭,127
导致,127
记载,126
东汉,126
特别,126
活着,126
明明,126
真实,125
关键,125
张松,125
钟会,125
兵马,124
喝酒,124
一集,124
时代,124
天天,124
兵力,124
江山,123
政治,123
廖化,123
发动,122
一段,122
势力,121
到底,121
样子,120
赤壁之战,119
黄盖,119
衣服,118
...,118
都督,118
全是,117
看见,117
汉朝,116
诸侯,116
不让,116
刘邦,116
前期,116
相当于,115
考虑,115
汉献帝,115
将领,115
季汉,114
最好,114
偷袭,114
怀疑,113
重用,113
益州,113
子午谷,113
国家,112
结局,112
大将军,112
刘皇叔,112
我要,111
将士,111
一路,110
有个,110
这话,110
军事,110
女人,110
角色,110
奈何,110
人物,110
女儿,109
去世,109
选择,109
一种,109
比较,109
面前,109
其他人,109
多年,109
看来,109
变成,108
一生,108
实在,108
哥哥,108
干嘛,108
安排,108
曹爽,108
何进,107
不知,107
军心,107
这段,106
可爱,106
加上,106
心态,106
邓艾,106
可怜,105
导演,105
地位,105
太守,105
曹军,105
陈登,105
认为,104
一把,104
适合,103
宦官,103
手里,103
表情,103
只会,103
明显,103
后人,102
不同,102
没什么,102
周郎,102
夏侯,101
老子,101
留下,101
一群,101
相信,101
信任,101
第一次,101
好看,101
司马师,101
不对,101
